sample,P-value,Correlation,RMSE
TARGET.20.PATKEA.09A,0.0,0.686260291458227,0.877585513113396
TARGET.20.PAVNVF.09A,0.0,0.623135400362286,0.882665282406063
TARGET.20.PAUNYL.09A,0.0,0.52431572245501,0.915714921145292
TARGET.20.PAYKSD.Sorted.CD34.Myeloid.Mono.09A,0.0,0.828151149821976,0.657808464303433
TARGET.20.PAXAAA.09A,0.0,0.713589076793999,0.846170054802525
TARGET.20.PATFZR.09A,0.0,0.903922738045305,0.673386557155501
TARGET.20.PAWWTP.09A,0.0,0.773959910282375,0.870482486532814
TARGET.20.PAYJAX.Unsorted.09A,0.0,0.602437894353636,0.897158375779682
TARGET.20.PAXLMS.09A,0.0,0.975318346756218,0.520344663295768
TARGET.20.PAXDSN.09A,0.0,0.750841237293025,0.841892373939888
TARGET.20.PASBGZ.09A,0.0,0.813229640920437,0.837133107904393
TARGET.20.PARUSN.09A,0.0,0.878934179636035,0.801479740256351
TARGET.20.PARMMN.09A,0.0,0.936567795150399,0.682247963166566
TARGET.20.PAWYEM.09A,0.0,0.95676025718743,0.623063157732678
TARGET.20.PARCVP.09A,0.0,0.940068370543364,0.655751210065654
TARGET.20.PASSPT.09A,0.0,0.772576623717016,0.864258252254259
TARGET.20.PATVAV.09A,0.0,0.738904010910653,0.831094542610261
TARGET.20.PAVACZ.09A,0.0,0.809763170910947,0.833086483481022
TARGET.20.PAVBIY.09A,0.0,0.611673289684997,0.871498941400253
TARGET.20.PAWNYM.09A,0.0,0.701568233280384,0.875670366924745
TARGET.20.PANKFZ.09A,0.0,0.879894324555037,0.766420214549831
TARGET.20.PAWZVT.09A,0.0,0.796379305303816,0.783070874372703
TARGET.20.PATGUB.09A,0.0,0.989059785866845,0.463431843351421
TARGET.20.PASANH.09A,0.0,0.976257972119245,0.71553148992229
TARGET.20.PAXBXU.09A,0.0,0.749743589214746,0.823614515447357
TARGET.20.PAVSEJ.09A,0.0,0.82613290059954,0.827211482579963
TARGET.20.PAPAEG.09A,0.0,0.823308343986223,0.8984720344931
TARGET.20.PALWFK.09A,0.0,0.913781946211305,0.808945136488837
TARGET.20.PAWGTG.09A,0.0,0.458523512310667,0.924700570709213
TARGET.20.PASGGK.09A,0.0,0.835507086715881,0.803625707486902
TARGET.20.PATLFJ.09A,0.0,0.620160403134565,0.903372186665282
TARGET.20.PATCTM.09A,0.0,0.62673447517951,0.822065956031801
TARGET.20.PAXKZA.09A,0.0,0.897443712796446,0.750680712296352
TARGET.20.PAXISV.09A,0.0,0.959403015769005,0.621244197398328
TARGET.20.PANGJY.09A,0.0,0.749997252119643,0.875071490368662
TARGET.20.PARYCU.09A,0.0,0.672144942419216,0.89108682623697
TARGET.20.PATJKC.09A,0.0,0.932311228954853,0.606076123585567
TARGET.20.PASDET.09A,0.0,0.8672128743956,0.770443815947584
TARGET.20.PAURUT.09A,0.0,0.655831129948378,0.863280141929399
TARGET.20.PAXHZD.09A,0.0,0.990125157396509,0.496539893679266
TARGET.20.PAWPET.09A,0.0,0.917134487771134,0.71894334777601
TARGET.20.PAXMBS.09A,0.0,0.926339585425478,0.746566668262595
TARGET.20.PAXFEA.09A,0.0,0.903133892721818,0.71464397275614
TARGET.20.PARUTH.09A,0.0,0.921323797759493,0.782251313005186
TARGET.20.PASYTG.09A,0.0,0.739746268839216,0.832347439709243
TARGET.20.PAWBSJ.09A,0.0,0.990943097366199,0.437055373082483
TARGET.20.PAXEWG.09A,0.0,0.611325923968696,0.878553278445685
TARGET.20.PASDXR.09A,0.0,0.805886939783781,0.855638165234241
TARGET.20.PATJNI.09A,0.0,0.81370596449186,0.855723029517545
TARGET.20.PAVLGZ.09A,0.0,0.429620755004051,0.91734591157229
TARGET.20.PAWMHE.09A,0.0,0.669505098166162,0.900309585066155
TARGET.20.PARBTV.09A,0.0,0.984175570675383,0.510431152132113
TARGET.20.PAKVGI.09A,0.0,0.588928456090975,0.901989273689234
TARGET.20.PAECBZ.09A,0.0,0.979492091287419,0.453222408619449
TARGET.20.PAXLHS.09A,0.0,0.564486378874366,0.920672109792707
TARGET.20.PASPKE.09A,0.0,0.472940339720649,0.907262000519059
TARGET.20.PAPVCN.09A,0.0,0.854223487973017,0.797399322871964
TARGET.20.PAXETC.09A,0.0,0.65558595202225,0.859929916184333
TARGET.20.PAVIYH.09A,0.0,0.695660063204219,0.853807104936337
TARGET.20.PAYBSY.09A,0.0,0.688674583640612,0.853984372543256
TARGET.20.PARMZF.09A,0.0,0.974161306914175,0.665030919096283
TARGET.20.PAUUSX.09A,0.0,0.761277453289938,0.892407843600563
TARGET.20.PASBPW.09A,0.0,0.775047031934775,0.748186545739198
TARGET.20.PAWLGJ.09A,0.0,0.956504493651088,0.645777780714117
TARGET.20.PAPXRJ.09A,0.0,0.659802050033633,0.886294949551168
TARGET.20.PAVZNG.09A,0.0,0.8452197207822,0.827137917892252
TARGET.20.PAYKGV.Unsorted.09A,0.0,0.876775816277924,0.805389174370553
TARGET.20.PAUTWE.09A,0.0,0.909741745961225,0.688488371820522
TARGET.20.PAWMEZ.09A,0.0,0.512071039137469,0.927466405632236
TARGET.20.PASNIY.09A,0.0,0.741214526168991,0.784146835685573
TARGET.20.PANKLP.09A,0.0,0.754797667064764,0.800613489487083
TARGET.20.PAVPMJ.09A,0.0,0.633600669189187,0.883672730160706
TARGET.20.PAUXKI.09A,0.0,0.929361983938019,0.742229648030568
TARGET.20.PAXLDJ.09A,0.0,0.979162209293525,0.604151581874422
TARGET.20.PASWIM.09A,0.0,0.906870790079134,0.710549210417133
TARGET.20.PAWSKR.09A,0.0,0.755380085651348,0.885316641403565
TARGET.20.PAULWG.09A,0.0,0.763189004559887,0.855336215574936
TARGET.20.PAWITY.09A,0.0,0.968567274705239,0.73717345176257
TARGET.20.PAWNGI.09A,0.0,0.715943421530001,0.877726646884537
TARGET.20.PAXIKL.09A,0.0,0.896761837654433,0.771196700243805
TARGET.20.PAUWPW.09A,0.0,0.947752365859229,0.667267420096613
TARGET.20.PAUWYG.09A,0.0,0.904354201236377,0.759660855812951
TARGET.20.PARXFJ.09A,0.0,0.950945125731306,0.685135791303179
TARGET.20.PAVTRU.09A,0.0,0.565348462549733,0.893399961018042
TARGET.20.PASSBI.09A,0.0,0.772154975150166,0.872777576638746
TARGET.20.PAWURP.09A,0.0,0.554588068170567,0.895077369029141
TARGET.20.PAWWWE.09A,0.0,0.682500307015931,0.89152681367964
TARGET.20.PAWBUN.09A,0.0,0.75097417795736,0.857243171916561
TARGET.20.PAUYWJ.09A,0.0,0.828807110364776,0.820130829722769
TARGET.20.PAPBEJ.09A,0.0,0.611048997254207,0.882049988281359
TARGET.21.PATISD.09A,0.0,0.511769085249713,0.938440656142961
TARGET.20.PASYDC.09A,0.0,0.912899087661565,0.783712484866296
TARGET.20.PAYHIY.Unsorted.09A,0.0,0.905427876428858,0.747434513511957
TARGET.20.PAWNLU.09A,0.0,0.763342410339859,0.796392454236386
TARGET.20.PAVJPL.09A,0.0,0.693594220919696,0.776413681108742
TARGET.20.PAWTWW.09A,0.0,0.933075231738471,0.679718050154464
TARGET.20.PAVGAM.09A,0.0,0.509943310329585,0.904056891203771
TARGET.20.PANLXM.09A,0.0,0.572247377872195,0.913186011242904
TARGET.20.PAXIEP.09A,0.0,0.92937274601848,0.724629968292093
TARGET.20.PAWAIG.09A,0.0,0.589254627192902,0.879071054555999
TARGET.20.PAPUNR.09A,0.0,0.870382737484484,0.826719784605675
TARGET.20.PARHYP.09A,0.0,0.919645031915264,0.779604608204987
TARGET.20.PAVSIZ.09A,0.0,0.986616382544297,0.483283281411195
TARGET.20.PATESX.09A,0.0,0.556239423505113,0.906671768070154
TARGET.20.PAYHTI.Sorted.non.leukemic.09A,0.0,0.397004343896115,0.926219439056105
TARGET.20.PARUWX.09A,0.0,0.521940376295092,0.875771696650035
TARGET.21.PAMYMA.09A,0.0,0.635110423706709,0.871004285071768
TARGET.20.PAWMIX.09A,0.0,0.564705006238165,0.890166567231629
TARGET.20.PARXBT.09A,0.0,0.953986348389252,0.728727272266752
TARGET.20.PAYETG.09A,0.0,0.88189379235605,0.725224316744052
TARGET.20.PATGHV.09A,0.0,0.607857673242865,0.877929187802966
TARGET.20.PAXDNI.09A,0.0,0.724239526174225,0.874501524756629
TARGET.20.PAWFBA.09A,0.0,0.693646820953127,0.843994156926977
TARGET.20.PAETAY.09A,0.0,0.472518279981336,0.919079505116768
TARGET.20.PARDDA.09A,0.0,0.976890636780109,0.571320508132786
TARGET.20.PABLDZ.09A,0.0,0.887675738405495,0.794009223630613
TARGET.20.PARENB.09A,0.0,0.990828238346225,0.491693631521883
TARGET.20.PARXZP.09A,0.0,0.833221867276505,0.775872605234754
TARGET.20.PAVLZE.09A,0.0,0.979831055203593,0.592936519427862
TARGET.20.PAUSMT.09A,0.0,0.790738374243759,0.853617184134492
TARGET.20.PAXJNP.09A,0.0,0.913071189982998,0.80456134847873
TARGET.20.PAULIY.09A,0.0,0.788937460346612,0.765452047206505
TARGET.20.PAUVSU.09A,0.0,0.984135109651076,0.180922075061141
TARGET.20.PABYKP.09A,0.0,0.39333749532028,0.939936108520504
TARGET.20.PARPVZ.09A,0.0,0.830193880403906,0.815411964618997
TARGET.20.PANVBP.09A,0.0,0.746967219220509,0.846103971844316
TARGET.20.PAWRNZ.09A,0.0,0.579897449886147,0.905059663366361
TARGET.20.PANDIX.09A,0.0,0.861902865546291,0.7310916163279
TARGET.20.PATDIC.09A,0.0,0.9541436877524,0.697141712741391
TARGET.20.PARBIU.09A,0.0,0.793651473217354,0.836492758695844
TARGET.20.PAWEAD.09A,0.0,0.794926074284177,0.828237962870511
TARGET.20.PAEAFC.09A,0.0,0.885111013273638,0.753037675169068
TARGET.20.PAWVNC.09A,0.0,0.778955273028996,0.84605001477371
TARGET.20.PAUWEW.09A,0.0,0.976116362347808,0.652618929002153
TARGET.20.PAWYEK.09A,0.0,0.896620238581153,0.836916780115162
TARGET.20.PAWDVC.09A,0.0,0.426942702456506,0.916649458082755
TARGET.20.PAXMPW.09A,0.0,0.982856841205549,0.499779630281018
TARGET.20.PAUVWF.09A,0.0,0.981404657904262,0.199514388998437
TARGET.20.PAWTRR.09A,0.0,0.892421190323986,0.719667873438907
TARGET.20.PANJGR.09A,0.0,0.654358728635413,0.834857126217807
TARGET.20.PAVMGM.09A,0.0,0.926255405110767,0.73622053196552
TARGET.20.PAWHXI.09A,0.0,0.911357034474241,0.697000275520542
TARGET.20.PAXGPE.09A,0.0,0.76860582777109,0.844565928264351
TARGET.20.PAWYVR.09A,0.0,0.732799125337381,0.81077128928861
TARGET.20.PALBCI.09A,0.0,0.958351413338687,0.665974724137328
TARGET.20.PAXMAD.09A,0.0,0.942194684127411,0.723805916487801
TARGET.20.PAYKSD.Sorted.CD34neg.Lymphoid.09A,0.0,0.544261928587689,0.899601373616688
TARGET.20.PARDLW.09A,0.0,0.75848290678408,0.874482519806722
TARGET.20.PANKFG.09A,0.0,0.770714408764764,0.805451440339649
TARGET.20.PAEREM.09A,0.0,0.563186399661266,0.900878338401429
TARGET.20.PANTNA.09A,0.0,0.827921113500701,0.715315458205967
TARGET.20.PAWZHY.09A,0.0,0.635583460205029,0.909811292989703
TARGET.20.PAWDTX.09A,0.0,0.813882383565336,0.875390992808629
TARGET.20.PAWGAZ.09A,0.0,0.525469538423016,0.877119793391895
TARGET.20.PAWZZS.09A,0.0,0.804026516523725,0.85348431783909
TARGET.20.PAVNYE.09A,0.0,0.944292794179366,0.674179046882367
TARGET.20.PAPUSR.09A,0.0,0.952461986981732,0.769381148656522
TARGET.20.PAXAKF.09A,0.0,0.600402477923275,0.878368887906477
TARGET.20.PAVUAP.09A,0.0,0.991280292359637,0.488965829604763
TARGET.20.PAXKAL.09A,0.0,0.852302094828882,0.815940488893536
TARGET.20.PARWDZ.09A,0.0,0.65925176835053,0.819733575149826
TARGET.20.PAVGEV.09A,0.0,0.636446826784343,0.891439594212834
TARGET.20.PAWVNP.09A,0.0,0.982122301914994,0.570528525984499
TARGET.20.PAWLER.09A,0.0,0.480554554624172,0.895903857796123
TARGET.20.PASCFW.09A,0.0,0.47900392787877,0.935548117246713
TARGET.20.PAVDBD.09A,0.0,0.943518925816843,0.331354466802263
TARGET.20.PALATT.09A,0.0,0.630018315298261,0.870722409381022
TARGET.20.PAXMRA.09A,0.0,0.730129332873552,0.86331173846665
TARGET.20.PADZCG.09A,0.0,0.76038618807504,0.791967998322508
TARGET.20.PAWDPD.09A,0.0,0.694407391104227,0.816257970328454
TARGET.20.PAXLDX.09A,0.0,0.993859793481362,0.336137205968336
TARGET.20.PALRKH.09A,0.0,0.615231943169676,0.882924641891672
TARGET.20.PAUSZL.09A,0.0,0.706271921044335,0.785718441167247
TARGET.20.PAWGEM.09A,0.0,0.922162959836937,0.666045457210825
TARGET.20.PAVPJM.09A,0.0,0.835580836998806,0.794206043969632
TARGET.20.PASZUT.09A,0.0,0.970888043605381,0.693085130130436
TARGET.20.PADYMH.09A,0.0,0.856667032613532,0.850677198165219
TARGET.20.PATILU.09A,0.0,0.976499257482221,0.627467204573024
TARGET.20.PAVKEX.09A,0.0,0.582811161075067,0.893078435148735
TARGET.20.PAVKZH.09A,0.0,0.832109992577096,0.783750671991512
TARGET.20.PAVLPL.09A,0.0,0.971122635441314,0.575504957485315
TARGET.20.PARYEB.09A,0.0,0.631081513175534,0.871029353206868
TARGET.20.PASNDA.09A,0.0,0.462669315061219,0.902923376508057
TARGET.20.PAWXSL.09A,0.0,0.721814447305903,0.85962355887743
TARGET.20.PAWVCG.09A,0.0,0.731447401560152,0.840178835186409
TARGET.20.PAVTWM.09A,0.0,0.578946728634503,0.928089981667591
TARGET.20.PAUUZT.09A,0.0,0.953863989041984,0.623005915784761
TARGET.20.PARVSF.09A,0.0,0.684731979204063,0.885046052329574
TARGET.20.PAVHWT.09A,0.0,0.552806831181939,0.906003492131083
TARGET.20.PARUUB.09A,0.0,0.974656051292374,0.591858965170815
TARGET.20.PAWKLE.09A,0.0,0.69304381361569,0.80687119333492
TARGET.20.PAURPD.09A,0.0,0.987011341105089,0.232214730418021
TARGET.20.PAUUCG.09A,0.0,0.706387978225822,0.862718220913939
TARGET.20.PARUNX.09A,0.0,0.449787000504541,0.933803304571587
TARGET.20.PARZVA.09A,0.0,0.515982477742632,0.909814691289287
TARGET.20.PASMTB.09A,0.0,0.981009929907734,0.511400827347767
TARGET.20.PASDGX.09A,0.0,0.848543496273707,0.824112048060466
TARGET.20.PAVDZK.09A,0.0,0.584222853387037,0.899810164162212
TARGET.20.PATKPC.09A,0.0,0.806418187041261,0.835275157853832
TARGET.20.PASPTW.09A,0.0,0.988070865812122,0.439142437294671
TARGET.20.PATMIK.09A,0.0,0.833877550458471,0.767526740245345
TARGET.20.PANUTB.09A,0.0,0.744033699755899,0.8195394222815
TARGET.20.PAXKWG.09A,0.0,0.967483823978962,0.615064941027456
TARGET.20.PAWCIL.09A,0.0,0.960092579706326,0.633758827958442
TARGET.20.PANHYK.09A,0.0,0.976625153057764,0.619577562122233
TARGET.20.PAXXND.09A,0.0,0.790539582141824,0.804788092370864
TARGET.20.PARCHJ.09A,0.0,0.787512838130396,0.805890447110276
TARGET.20.PATGVS.09A,0.0,0.985614472017987,0.18324650439286
TARGET.20.PAXMKU.09A,0.0,0.873067098550853,0.808559021456836
TARGET.20.PARKUY.09A,0.0,0.994137911817727,0.223391308542532
TARGET.20.PAVIRD.09A,0.0,0.605679579348082,0.895937891823784
TARGET.20.PAERAH.09A,0.0,0.813806765557112,0.766350487972999
TARGET.20.PAVMIY.09A,0.0,0.965233415806509,0.612945765465949
TARGET.20.PAYIPA.Sorted.leukemic.09A,0.0,0.575405286894602,0.91617130141536
TARGET.20.PARZHI.09A,0.0,0.69848861982835,0.806530630093774
TARGET.20.PAUDNA.09A,0.0,0.991424119023679,0.255407575943784
TARGET.20.PAKJSB.09A,0.0,0.790040223708661,0.837116038576073
TARGET.20.PASICM.09A,0.0,0.540328540872876,0.881778970823438
TARGET.20.PAVANT.09A,0.0,0.692619972174103,0.842201545960031
TARGET.20.PARTXH.09A,0.0,0.988807770052871,0.521405681489749
TARGET.20.PAVWRI.09A,0.0,0.994570739067996,0.294650190453099
TARGET.20.PAVMED.09A,0.0,0.846961404048486,0.831815890371804
TARGET.20.PAVSNL.09A,0.0,0.953586453503349,0.718220791763216
TARGET.20.PAKTGM.09A,0.0,0.879594460206853,0.757084717552952
TARGET.20.PANTIV.09A,0.0,0.963689671948226,0.552982805363151
TARGET.20.PAXAFN.09A,0.0,0.842039040936986,0.851781174884068
TARGET.20.PAVCNG.09A,0.0,0.936847457658956,0.612401787867839
TARGET.20.PAVHUI.09A,0.0,0.892847208612888,0.814667652378898
TARGET.20.PAXJIH.09A,0.0,0.979151058239164,0.559719797862213
TARGET.20.PAXCCW.09A,0.0,0.922690816723175,0.701880864387442
TARGET.20.PAVMEH.09A,0.0,0.971388862398341,0.531479538731194
TARGET.20.PATHAE.09A,0.0,0.778827612785435,0.814415000632455
TARGET.20.PAWTKY.09A,0.0,0.931672865096043,0.796813962646343
TARGET.20.PAWVGN.09A,0.0,0.574112097011765,0.877419398414003
TARGET.20.PASUHK.09A,0.0,0.853455488446474,0.767255980367746
TARGET.20.PAWXPN.09A,0.0,0.682924297182977,0.89140131433586
TARGET.20.PAWKUR.09A,0.0,0.944947491042185,0.726715460431719
TARGET.20.PAUMMR.09A,0.0,0.754116643571036,0.786932802704739
TARGET.20.PAWVLB.09A,0.0,0.770094951422422,0.848224545016863
TARGET.20.PAWIAT.09A,0.0,0.993261674700538,0.469616627512315
TARGET.20.PAWPMA.09A,0.0,0.574274367351343,0.917068146762401
TARGET.20.PARGKA.09A,0.0,0.673379976898011,0.854539515050562
TARGET.20.PAVPDN.09A,0.0,0.961370641516813,0.673038242747238
TARGET.20.PAYKGB.Unsorted.09A,0.0,0.929117079837732,0.74360018767671
TARGET.20.PANKBX.09A,0.0,0.922652355320423,0.709933772148791
TARGET.20.PAVGXF.09A,0.0,0.614369669636301,0.912358262508246
TARGET.20.PAVLLR.09A,0.0,0.941029133500041,0.715283463520761
TARGET.20.PAXKKE.09A,0.0,0.968117781161628,0.749187949157866
TARGET.20.PALHVV.09A,0.0,0.786902724193425,0.820384879842864
TARGET.20.PARHVK.09A,0.0,0.769279875198586,0.854501223789459
TARGET.20.PAVDDA.09A,0.0,0.950880617068314,0.598168205416773
TARGET.20.PARNXZ.09A,0.0,0.674607538127883,0.871702783536104
TARGET.20.PAWGPM.09A,0.0,0.904076438298089,0.742050040067616
TARGET.20.PAVPLL.09A,0.0,0.985081271585433,0.529975209200555
TARGET.20.PAVIGB.09A,0.0,0.717267902405405,0.873211980886258
TARGET.20.PAVFYL.09A,0.0,0.458506707053441,0.936029875766414
TARGET.21.PANZLR.09A,0.0,0.596816200272002,0.913471471286813
TARGET.20.PASHHH.09A,0.0,0.528526602072541,0.920746704330175
TARGET.20.PAWIHN.09A,0.0,0.868938300631489,0.772869335939619
TARGET.20.PASZBM.09A,0.0,0.907312693937273,0.747687854338951
TARGET.20.PAWSWR.09A,0.0,0.901962710396532,0.741590389576779
TARGET.20.PAYKYZ.Sorted.CD34neg.Lymphoid.09A,0.0,0.621191476971691,0.893554204238537
TARGET.20.PANRWC.09A,0.0,0.583825860700387,0.916246259430495
TARGET.20.PAWMAV.09A,0.0,0.932215733964233,0.712725093904382
TARGET.20.PAXMLN.09A,0.0,0.968083440093512,0.68708811113779
TARGET.20.PABHHH.09A,0.0,0.978373534379738,0.629738680362744
TARGET.20.PAWJPN.09A,0.0,0.75266994236463,0.835527366478136
TARGET.20.PAYHFV.Sorted.non.leukemic.09A,0.0,0.696823725932886,0.848786586457059
TARGET.20.PAVVAB.09A,0.0,0.672980635952893,0.869214996007798
TARGET.20.PAWHJI.09A,0.0,0.779423993344276,0.843649264762191
TARGET.20.PAYDNH.09A,0.0,0.730764539055812,0.849739483072894
TARGET.20.PAVXUR.09A,0.0,0.882024560772033,0.791716081605939
TARGET.20.PAXIEG.09A,0.0,0.963740162538467,0.610187723910847
TARGET.20.PASPYR.09A,0.0,0.78973261398003,0.85160515377334
TARGET.20.PAVGBH.09A,0.0,0.859363867152047,0.782259405353909
TARGET.20.PAVZIF.09A,0.0,0.768756197194311,0.856468361740333
TARGET.20.PAXKUA.09A,0.0,0.743801750461202,0.848836323850005
TARGET.20.PAVUHF.09A,0.0,0.826909346555927,0.828070645688481
TARGET.20.PANLIZ.09A,0.0,0.759146889613958,0.819896103304819
TARGET.20.PARMHD.09A,0.0,0.68776408844995,0.873572506069064
TARGET.20.PATBVX.09A,0.0,0.947592344322907,0.723406660353808
TARGET.20.PAUVCL.09A,0.0,0.817310198096515,0.841224560078681
TARGET.20.PAVTDU.09A,0.0,0.811661178447777,0.818829874706998
TARGET.20.PAWBRP.09A,0.0,0.803133596584427,0.757133406425969
TARGET.20.PAVHXU.09A,0.0,0.803787316489698,0.867274625404245
TARGET.20.PARZPD.09A,0.0,0.514179890621801,0.899328384320139
TARGET.20.PAUFZU.09A,0.0,0.98730092024328,0.216140912031241
TARGET.20.PAULRS.09A,0.0,0.953237418725959,0.672983088464508
TARGET.20.PAXBSE.09A,0.0,0.681162860074581,0.860571753358168
TARGET.20.PASREH.09A,0.0,0.934417600601557,0.586347387228803
TARGET.20.PASJZX.09A,0.0,0.925514698902351,0.789806326971256
TARGET.20.PATDMY.09A,0.0,0.994018806125766,0.167015915495979
TARGET.20.PASNDH.09A,0.0,0.907382017634275,0.629584244503502
TARGET.20.PARBXE.09A,0.0,0.811500631607634,0.814148110586413
TARGET.20.PARRTH.09A,0.0,0.792017510390627,0.804713838226827
TARGET.20.PAWUWJ.09A,0.0,0.919100282355753,0.683252656270515
TARGET.20.PARBLP.09A,0.0,0.964731273840266,0.663554862299455
TARGET.20.PAVDHJ.09A,0.0,0.708702070837668,0.890979476900091
TARGET.20.PANINI.09A,0.0,0.89666701831229,0.682701660699584
TARGET.20.PAYIPA.Unsorted.09A,0.0,0.47915025203319,0.939676102856564
TARGET.20.PATMXW.09A,0.0,0.541681659678152,0.85741838294358
TARGET.20.PAXGIY.09A,0.0,0.826623708469326,0.822116326693898
TARGET.20.PAVDMY.09A,0.0,0.896480919772536,0.779837986948037
TARGET.20.PAXCZX.09A,0.0,0.846284287034485,0.825545431230581
